Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Cruise]	Term Source REF	Term Accession Number	Factor Value[Station]	Term Source REF	Term Accession Number	Factor Value[Cast]	Term Source REF	Term Accession Number	Factor Value[Depth]	Unit	Term Source REF	Term Accession Number	Factor Value[Latitude]	Unit	Term Source REF	Term Accession Number	Factor Value[Longitude]	Unit	Term Source REF	Term Accession Number	Factor Value[Sample group]	Term Source REF	Term Accession Number
AO3	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO3	AE1319			4			7			1500	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	55	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-48.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO4	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO4	AE1319			4			7			3000	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	55	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-48.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO5	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO5	AE1319			7			17			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	48.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-40.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO6	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO6	AE1319			7			17			40	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	48.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-40.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO7	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO7	AE1319			7			17			1500	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	48.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-40.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO8	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO8	AE1319			7			17			3000	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	48.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-40.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO9	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO9	AE1319			11			31			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	41	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-49.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO10	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO10	AE1319			11			31			55	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	41	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-49.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO11	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO11	AE1319			11			31			350	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	41	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-49.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO12	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO12	AE1319			11			31			1500	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	41	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-49.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO13	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO13	AE1319			11			31			3000	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	41	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-49.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO14	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO14	AE1319			11			31			3000	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	41	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-49.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO15	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO15	AE1319			15			43			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	32.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-60	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO16	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO16	AE1319			15			43			70	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	32.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-60	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO17	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO17	AE1319			15			43			315	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	32.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-60	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO18	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO18	AE1319			15			43			800	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	32.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-60	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO19	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO19	AE1319			15			43			1500	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	32.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-60	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO20	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO20	AE1319			15			43			3000	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	32.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-60	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KG1	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG1	KN210-04			2			8			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-38	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-45	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG2	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG2	KN210-04			2			3			42	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-38	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-45	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG3	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG3	KN210-04			2			5			80	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-38	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-45	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG4	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG4	KN210-04			2			3			220	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-38	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-45	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG5	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG5	KN210-04			2			4			754	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-38	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-45	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG6	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG6	KN210-04			2			2			2502	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-38	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-45	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG7	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG7	KN210-04			2			2			5110	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-38	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-45	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG8	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG8	KN210-04			7			21			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-22.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-33	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG9	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG9	KN210-04			7			21			130	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-22.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-33	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG10	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG10	KN210-04			7			18			250	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-22.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-33	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG11	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG11	KN210-04			7			24			753	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-22.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-33	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG12	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG12	KN210-04			7			18			2500	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-22.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-33	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG13	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG13	KN210-04			7			18			4512	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-22.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-33	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG14	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG14	KN210-04			15			46			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-2.7	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-28.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG15	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG15	KN210-04			15			46			63	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-2.7	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-28.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG16	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG16	KN210-04			15			47			250	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-2.7	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-28.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG17	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG17	KN210-04			15			47			750	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-2.7	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-28.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG18	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG18	KN210-04			15			43			2500	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-2.7	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-28.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG19	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG19	KN210-04			15			43			5009	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-2.7	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-28.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG20	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG20	KN210-04			23			72			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG21	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG21	KN210-04			23			74			76	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG22	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG22	KN210-04			23			69			68	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG23	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG23	KN210-04			23			69			251	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG24	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG24	KN210-04			23			74			248	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG25	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG25	KN210-04			23			69			562	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG26	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG26	KN210-04			23			71			930	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG27	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG27	KN210-04			23			71			2500	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG28	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG28	KN210-04			23			71			3770	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG29	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG29	KN210-04			5			16			4	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG30	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG30	KN210-04			5			13			6	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG31	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG31	KN210-04			5			16			105	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG32	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG32	KN210-04			5			15			105	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG33	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG33	KN210-04			5			13			175	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG34	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG34	KN210-04			5			13			248	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG35	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG35	KN210-04			5			15			401	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG36	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG36	KN210-04			5			15			902	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG37	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG37	KN210-04			5			15			2504	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG38	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG38	KN210-04			5			15			4345	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG39	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG39	KN210-04			9			30			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG40	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG40	KN210-04			9			29			100	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG41	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG41	KN210-04			9			30			140	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG42	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG42	KN210-04			9			29			253	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG43	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG43	KN210-04			9			29			405	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG44	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG44	KN210-04			9			29			799	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG45	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG45	KN210-04			9			28			2501	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG46	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG46	KN210-04			9			28			5533	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG47	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG47	KN210-04			19			56			6	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	5.9	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-41.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
KG48	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KG48	KN210-04			19			56			86	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	5.9	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-41.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	GFF filter		
